index,Datetime,Open,High,Low,Close,Volume,Pivot,BC,TC,R1,S1,R2,S2,R3,S3,Stock
37,2022-12-02T00:00:00,2672.0,2684.95,2663.0,2666.0,5364541,2671.32,2673.98,2668.66,2679.63,2657.68,2693.27,2649.37,2701.58,2641.05,HDFC
38,2022-12-02T00:00:00,1610.0,1618.6,1605.15,1607.75,7777032,1610.5,1611.88,1609.12,1615.85,1602.4,1623.95,1597.05,1629.3,1591.7,HDFCBANK
39,2022-12-02T00:00:00,2865.0,2865.0,2813.0,2816.05,1050406,2831.35,2839.0,2823.7,2849.7,2797.7,2883.35,2779.35,2901.7,2761.0,HEROMOTOCO
40,2022-12-02T00:00:00,463.3,470.4,458.0,460.6,13216969,463.0,464.2,461.8,468.0,455.6,475.4,450.6,480.4,445.6,HINDALCO
41,2022-12-02T00:00:00,2660.0,2660.0,2607.15,2620.0,4201430,2629.05,2633.58,2624.52,2650.95,2598.1,2681.9,2576.2,2703.8,2554.3,HINDUNILVR
42,2022-12-02T00:00:00,236.45,238.65,234.25,235.85,8409543,236.25,236.45,236.05,238.25,233.85,240.65,231.85,242.65,229.85,HINDPETRO
43,2022-12-02T00:00:00,324.5,326.75,322.5,324.0,5067138,324.42,324.62,324.21,326.33,322.08,328.67,320.17,330.58,318.25,INDHOTEL
44,2022-12-02T00:00:00,248.7,251.8,247.55,248.7,11114209,249.35,249.68,249.02,251.15,246.9,253.6,245.1,255.4,243.3,INDIACEM
45,2022-12-02T00:00:00,1656.0,1661.8,1633.95,1640.95,8538561,1645.57,1647.88,1643.26,1657.18,1629.33,1673.42,1617.72,1685.03,1606.1,INFY
46,2022-12-02T00:00:00,76.2,77.2,76.0,76.95,36365368,76.72,76.6,76.83,77.43,76.23,77.92,75.52,78.63,74.8,IOC
47,2022-12-02T00:00:00,862.25,875.0,857.5,867.05,614537,866.52,866.25,866.78,875.53,858.03,884.02,849.02,893.03,840.0,IPCALAB
48,2022-12-02T00:00:00,339.35,340.8,336.75,337.5,16758009,338.35,338.78,337.92,339.95,335.9,342.4,334.3,344.0,332.7,ITC
49,2022-12-02T00:00:00,1426.7,1444.5,1426.7,1442.0,835488,1437.73,1435.6,1439.87,1448.77,1430.97,1455.53,1419.93,1466.57,1408.9,CUMMINSIND
50,2022-12-02T00:00:00,1917.1,1934.9,1917.1,1933.0,3163889,1928.33,1926.0,1930.67,1939.57,1921.77,1946.13,1910.53,1957.37,1899.3,KOTAKBANK
51,2022-12-02T00:00:00,1464.0,1477.4,1460.4,1469.0,571897,1468.93,1468.9,1468.97,1477.47,1460.47,1485.93,1451.93,1494.47,1443.4,TRENT
52,2022-12-02T00:00:00,393.9,396.8,390.15,393.2,1880999,393.38,393.48,393.29,396.62,389.97,400.03,386.73,403.27,383.5,LICHSGFIN
53,2022-12-02T00:00:00,1286.45,1293.8,1260.0,1266.95,5776673,1273.58,1276.9,1270.27,1287.17,1253.37,1307.38,1239.78,1320.97,1226.2,M&M
54,2022-12-02T00:00:00,680.0,694.55,676.25,687.0,1910189,685.93,685.4,686.47,695.62,677.32,704.23,667.63,713.92,657.95,RAMCOCEM
55,2022-12-02T00:00:00,701.25,711.0,698.75,705.9,674649,705.22,704.88,705.56,711.68,699.43,717.47,692.97,723.93,686.5,MFSL
56,2022-12-02T00:00:00,17098.0,17240.0,16993.55,17115.3,59660,17116.28,17116.78,17115.79,17239.02,16992.57,17362.73,16869.83,17485.47,16747.1,BOSCHLTD
57,2022-12-02T00:00:00,236.85,243.0,236.05,240.0,35429174,239.68,239.52,239.84,243.32,236.37,246.63,232.73,250.27,229.1,BANDHANBNK
58,2022-12-02T00:00:00,94490.0,94988.0,93234.0,94499.95,23897,94240.65,94111.0,94370.3,95247.3,93493.3,95994.65,92486.65,97001.3,91480.0,MRF
59,2022-12-02T00:00:00,2752.4,2807.0,2745.0,2772.0,1870888,2774.67,2776.0,2773.33,2804.33,2742.33,2836.67,2712.67,2866.33,2683.0,HAL
60,2022-12-02T00:00:00,868.85,869.5,853.0,858.0,1387994,860.17,861.25,859.08,867.33,850.83,876.67,843.67,883.83,836.5,PEL
61,2022-12-02T00:00:00,141.85,144.8,140.55,140.75,48793131,142.03,142.68,141.39,143.52,139.27,146.28,137.78,147.77,136.3,ONGC
62,2022-12-02T00:00:00,2733.55,2743.95,2705.0,2735.0,393388,2727.98,2724.48,2731.49,2750.97,2712.02,2766.93,2689.03,2789.92,2666.05,PIDILITIND
63,2022-12-02T00:00:00,2730.0,2748.0,2700.6,2725.9,10663403,2724.83,2724.3,2725.37,2749.07,2701.67,2772.23,2677.43,2796.47,2653.2,RELIANCE
64,2022-12-02T00:00:00,85.95,87.45,85.5,86.8,40503345,86.58,86.48,86.69,87.67,85.72,88.53,84.63,89.62,83.55,SAIL
65,2022-12-02T00:00:00,607.5,609.6,604.25,607.6,15034031,607.15,606.92,607.38,610.05,604.7,612.5,601.8,615.4,598.9,SBIN
66,2022-12-02T00:00:00,310.15,315.85,308.4,313.5,28995968,312.58,312.12,313.04,316.77,309.32,320.03,305.13,324.22,300.95,VEDL
67,2022-12-02T00:00:00,24000.0,24162.0,23510.0,24050.0,56827,23907.33,23836.0,23978.67,24304.67,23652.67,24559.33,23255.33,24956.67,22858.0,SHREECEM
68,2022-12-02T00:00:00,2776.0,2776.4,2725.85,2775.0,601335,2759.08,2751.12,2767.04,2792.32,2741.77,2809.63,2708.53,2842.87,2675.3,SIEMENS
69,2022-12-02T00:00:00,2398.5,2405.0,2360.0,2395.0,971958,2386.67,2382.5,2390.83,2413.33,2368.33,2431.67,2341.67,2458.33,2315.0,SRF
70,2022-12-02T00:00:00,1048.3,1049.85,1034.8,1041.75,4567355,1042.13,1042.32,1041.94,1049.47,1034.42,1057.18,1027.08,1064.52,1019.75,SUNPHARMA
71,2022-12-02T00:00:00,1048.0,1053.0,1031.05,1039.5,2042514,1041.18,1042.03,1040.34,1051.32,1029.37,1063.13,1019.23,1073.27,1009.1,TATACHEM
72,2022-12-02T00:00:00,42200.0,42649.95,42060.05,42308.55,9806,42339.52,42355.0,42324.03,42618.98,42029.08,42929.42,41749.62,43208.88,41470.15,HONAUT
73,2022-12-02T00:00:00,225.45,226.35,223.85,225.2,14400221,225.13,225.1,225.17,226.42,223.92,227.63,222.63,228.92,221.35,TATAPOWER
74,2022-12-02T00:00:00,810.0,812.5,792.2,796.5,5756635,800.4,802.35,798.45,808.6,788.3,820.7,780.1,828.9,771.9,TATACONSUM
75,2022-12-02T00:00:00,439.0,441.15,435.0,435.5,16669565,437.22,438.08,436.36,439.43,433.28,443.37,431.07,445.58,428.85,TATAMOTORS
76,2022-12-02T00:00:00,110.8,112.5,110.15,112.0,140548022,111.55,111.32,111.78,112.95,110.6,113.9,109.2,115.3,107.8,TATASTEEL
77,2022-12-02T00:00:00,2648.0,2651.4,2605.0,2612.4,1461218,2622.93,2628.2,2617.67,2640.87,2594.47,2669.33,2576.53,2687.27,2558.6,TITAN
78,2022-12-02T00:00:00,1641.9,1650.0,1613.35,1625.95,782997,1629.77,1631.68,1627.86,1646.18,1609.53,1666.42,1593.12,1682.83,1576.7,TORNTPHARM
79,2022-12-02T00:00:00,842.0,856.3,838.55,854.0,2874040,849.62,847.42,851.81,860.68,842.93,867.37,831.87,878.43,820.8,VOLTAS
80,2022-12-02T00:00:00,1293.0,1339.9,1290.0,1321.0,1693746,1316.97,1314.95,1318.98,1343.93,1294.03,1366.87,1267.07,1393.83,1240.1,TATACOMM
81,2022-12-02T00:00:00,413.8,413.9,409.05,412.25,11704957,411.73,411.48,411.99,414.42,409.57,416.58,406.88,419.27,404.2,WIPRO
82,2022-12-02T00:00:00,266.0,271.9,265.15,270.45,12834347,269.17,268.52,269.81,273.18,266.43,275.92,262.42,279.93,258.4,ZEEL
83,2022-12-02T00:00:00,501.05,505.85,498.6,503.35,3084753,502.6,502.22,502.98,506.6,499.35,509.85,495.35,513.85,491.35,MARICO
84,2022-12-02T00:00:00,74.0,74.85,73.0,74.05,25193614,73.97,73.92,74.01,74.93,73.08,75.82,72.12,76.78,71.15,MOTHERSON
85,2022-12-02T00:00:00,2199.85,2229.9,2186.0,2190.0,717173,2201.97,2207.95,2195.98,2217.93,2174.03,2245.87,2158.07,2261.83,2142.1,HDFCAMC
86,2022-12-02T00:00:00,1286.65,1298.2,1268.0,1286.35,2063775,1284.18,1283.1,1285.27,1300.37,1270.17,1314.38,1253.98,1330.57,1237.8,SRTRANSFIN
87,2022-12-02T00:00:00,2160.0,2168.0,2133.7,2158.05,1435607,2153.25,2150.85,2155.65,2172.8,2138.5,2187.55,2118.95,2207.1,2099.4,MPHASIS
88,2022-12-02T00:00:00,171.8,174.25,170.6,171.45,48817340,172.1,172.42,171.77,173.6,169.95,175.75,168.45,177.25,166.95,BANKBARODA
